date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:20:07	832/832	---M--	200	added ('OK')	application/javascript	etag:%2265155f8a-340%22	https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo/assets/js/config.js	C:/Users/patel/Downloads/sneat_pro_winhttrack/demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo/assets/js/config.js	(from https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1/)
09:20:07	141887/141887	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2003:50:07%20GMT	https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1/dashboard/crm	C:/Users/patel/Downloads/sneat_pro_winhttrack/demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1/dashboard/crm.html	(from https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1/)
09:20:07	128037/128037	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2003:50:07%20GMT	https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1/app/ecommerce/dashboard	C:/Users/patel/Downloads/sneat_pro_winhttrack/demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1/app/ecommerce/dashboard.html	(from https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1/)
09:20:08	126154/126154	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2003:50:08%20GMT	https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1/app/logistics/dashboard	C:/Users/patel/Downloads/sneat_pro_winhttrack/demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1/app/logistics/dashboard.html	(from https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1/)
09:20:08	117095/117095	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2003:50:08%20GMT	https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1/app/academy/dashboard	C:/Users/patel/Downloads/sneat_pro_winhttrack/demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1/app/academy/dashboard.html	(from https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1/)
09:20:08	97512/97512	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2003:50:08%20GMT	https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1/layouts/collapsed-menu	C:/Users/patel/Downloads/sneat_pro_winhttrack/demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1/layouts/collapsed-menu.html	(from https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1/)
09:20:08	97334/97334	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2003:50:08%20GMT	https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1/layouts/content-navbar	C:/Users/patel/Downloads/sneat_pro_winhttrack/demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1/layouts/content-navbar.html	(from https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1/)
09:20:09	97723/97723	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2003:50:08%20GMT	https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1/layouts/content-nav-sidebar	C:/Users/patel/Downloads/sneat_pro_winhttrack/demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1/layouts/content-nav-sidebar.html	(from https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1/)
09:20:09	147466/147466	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2003:50:09%20GMT	https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1/layouts/horizontal	C:/Users/patel/Downloads/sneat_pro_winhttrack/demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1/layouts/horizontal.html	(from https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1/)
09:20:09	36042/36042	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Nov%202023%2003:50:09%20GMT	https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1/layouts/without-menu	C:/Users/patel/Downloads/sneat_pro_winhttrack/demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1/layouts/without-menu.html	(from https://demos.themeselection.com/sneat-bootstrap-html-laravel-admin-template/demo-1/)
